miRNA,Gene,ΔG open,Probability exact,Conservation PhyloP,miRmap score
hsa-miR-3921,BDNF,15.9522,57.2050248714065,15.6761863480887,55.4163
hsa-miR-4286,BDNF,13.6347,18.3029944978219,25.1535159715813,55.4366
hsa-miR-4463,BDNF,84.6673,20.9054266956865,71.2496834772984,55.4878
hsa-miR-4300,BDNF,36.3708,40.2038815596563,18.1707199731371,55.5486
hsa-miR-4802-3p,BDNF,64.1043,7.32006858321508,89.5697483452541,55.7045
hsa-miR-376c-3p,BDNF,40.233,60.8471334412568,21.2643921838682,56.0635
hsa-miR-4500,BDNF,59.3663,35.4304969154127,4.82604411141757,56.3613
hsa-miR-6089,BDNF,5.80622,41.7754666457656,66.1005466440586,56.7356
hsa-miR-1251,BDNF,63.3639,29.2511377741001,5.48446383843815,56.9058
hsa-miR-517-5p,BDNF,63.2762,29.2511377741001,5.48446383843815,56.9373
hsa-miR-3678-3p,BDNF,80.3009,12.8178475595692,86.2871929762612,57.178
hsa-miR-30e-5p,BDNF,91.106,12.0162359252685,89.5697483452541,57.3787
hsa-miR-5591-3p,BDNF,39.784,11.9467171184021,72.2322460792207,57.3945
hsa-miR-4437,BDNF,35.3988,30.3341085010751,10.5086587090442,57.4028
hsa-miR-374a-3p,BDNF,77.6158,52.093750634119,75.3568059174026,57.5171
hsa-miR-6501-3p,BDNF,6.11567,31.2023423252895,75.3568059174026,57.904
hsa-miR-205-5p,BDNF,31.4907,58.5043047290602,42.7048950391687,58.1217
hsa-miR-3918,BDNF,34.8814,22.4100255785218,14.5623021035748,58.2415
hsa-miR-4485,BDNF,65.902,62.8373106569016,85.0839144508546,59.0761
hsa-miR-553,BDNF,91.2235,44.1678398997987,89.5697483452541,59.77
hsa-miR-4287,BDNF,60.5073,16.611354707475,20.7798646798996,59.7923
hsa-miR-1972,BDNF,31.9137,23.8042664534426,86.2871929762612,59.8173
hsa-miR-5692a,BDNF,87.6334,59.1452393170985,83.9985943701031,60.1305
hsa-miR-3617-3p,BDNF,63.8879,15.6274730641731,19.4850128059605,60.3784
hsa-miR-4756-3p,BDNF,98.798,23.0086571671055,81.8796217401115,60.5024
